"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"diosmina esperidina",47.5,37.5,128,128232,10515,-2,60,82,43,18,1,1,1,0,0,0,0,0,0,10,1,1
"daflon 500 120 compresse originale",30.4,27.3,11,30254,1906,-31,26,63,26,0,1,0,1,0,0,0,0,0,0,22,"-",1
"diosmina esperidina 1000",,,"-",644,47,-7,32,73,8,0,1,0,0,0,0,0,0,0,0,"-","-",1
"diosmina esperidina alto dosaggio",57.4,46.7,45,25527,3344,-20,52,131,30,7,1,1,1,0,0,0,0,0,0,12,1,1
"diosmina esperidina 1000 mg",,,"-",5173,388,7,36,75,8,0,1,1,1,0,0,0,0,0,0,41,1,1
"diosmina sandoz",41,25,4,8585,704,-35,43,82,10,1,1,1,1,0,0,0,0,0,0,33,2,2
"daflon",42.2,35.9,39,43285,6233,-28,131,144,32,0,1,0,1,0,0,0,0,0,0,20,"-",2
"hesperidin",,,"-",6053,115,-19,8,19,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"daflon 500 compresse",41.6,30.2,43,73074,6869,-39,13,94,32,0,1,0,1,0,0,0,0,0,0,18,"-",2
"daflon 500 mg compresse",,,"-",780,39,21,1,50,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"daflon 500 compresse originali",,,"-","-",0,"-",0,"-",8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"pastiglie vene varicose",,,"-","-",0,"-",50,133,8,0,1,0,1,0,0,0,0,0,0,7,"-",2
"daflon 500 60 compresse originale miglior prezzo",,,"-",5667,17,-18,15,3,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"daflon 500 da 120 compresse",,,"-",20000,260,6,11,13,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"daflon 1000",,,"-",5169,305,-40,13,59,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"daflon 500",42.7,,5,21868,1990,-34,55,91,27,0,1,0,1,0,0,0,0,0,0,9,"-",3
"flavonoidi",,,"-",780,255,-27,165,327,8,21,1,0,0,0,0,0,0,0,0,"-","-",3
"dinaven",84.4,70,10,9746,575,-6,29,59,9,4,1,0,0,0,0,0,0,0,0,"-","-",3
"venaslim leg",,,"-",8951,367,26,54,41,8,0,1,0,0,0,0,0,0,0,0,"-","-",3
"wesalys diosmina esperidina",,,"-",10941,372,-32,18,34,8,0,1,1,0,0,0,0,0,0,0,"-",3,3
"arvenum 500",,,8,8238,346,-42,42,42,8,0,1,0,1,0,0,0,0,0,0,5,"-",4
"diosmin",,,"-",1351,208,-54,55,154,8,3,1,1,1,0,0,0,0,0,0,6,4,4
"snellip",,,"-",13056,235,-32,29,18,8,0,1,0,0,0,0,0,0,0,0,"-","-",4
"liped kontrol",92.9,100,3,85111,766,-40,45,9,11,0,1,0,0,0,0,0,0,0,0,"-","-",4
"paracetamolo 500mg",,,"-",15158,288,2,0,19,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"bioflavonoidi emorroidi",,,"-","-",0,"-",26,227,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"diosmin expert 500",,,"-","-",0,"-",12,12,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"daflon generico",,,"-",3588,183,13,0,51,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"prisma 50 mg capsule",,,2,15591,343,-35,0,22,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"nedemax 60 compresse",,,"-",9825,393,-16,3,40,8,0,1,0,0,0,0,0,0,0,0,"-","-",5
"zeflavon 1000 mg compresse",81.6,87.5,8,25741,695,-14,0,27,10,0,1,0,0,0,0,0,0,0,0,"-","-",5
"daflon 1000 mg",40.7,53.8,13,72840,3642,-37,2,50,29,0,1,0,1,0,0,0,0,0,0,25,"-",5
"venalex",,,"-","-",0,"-",38,68,8,1,1,0,1,0,0,0,0,0,0,129,"-",6
"vene capillari",,,"-","-",0,"-",126,646,8,1,1,0,0,0,0,0,0,0,0,"-","-",6
"biovenum 500",,,"-",2844,91,86,20,32,8,0,1,0,0,0,0,0,0,0,0,"-","-",6
"pervene 90 compresse",,,4,41429,290,-51,22,7,8,0,1,0,0,0,0,0,0,0,0,"-","-",6
"vitalinfatic 1000",,,"-",27923,363,-8,28,13,8,1,1,0,0,0,0,0,0,0,0,"-","-",6
"daflon 500 120 compresse",,,"-",3026,118,-53,11,39,8,0,1,0,1,0,0,0,0,0,0,154,"-",7
"ivermectina compresse",,,"-",17200,258,-58,4,15,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"esperidina pura",,,"-",1192,31,-29,21,26,8,0,1,0,0,0,0,0,0,0,0,"-","-",7
"diosmina bromelina",,,"-",875,182,-27,72,208,8,0,1,0,1,0,0,0,0,0,0,15,"-",7
"flavonoidi integratori",,,"-",575,253,-20,150,440,8,0,1,0,0,0,0,0,0,0,0,"-","-",8
"omniven 500",91.7,51.7,29,49525,1981,-24,36,40,28,3,1,0,0,0,0,0,0,0,0,"-","-",8
