"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"capillari rotti gambe",,,"-",143,19,-22,44,133,8,10,1,0,1,0,0,0,0,0,0,113,"-",1
"circolazione gambe",29.5,12.5,8,30,1180,-26,238,40000,28,7,1,0,0,0,0,0,0,0,0,"-","-",1
"capillari gambe",,,"-",371,268,-4,195,722,8,1,1,0,0,0,0,0,0,0,0,"-","-",1
"capillari rotti",,,"-","-",0,"-",70,166,8,16,1,1,0,0,0,0,0,0,0,"-",6,1
"capillari rotti gambe rimedi",,,4,2890,367,-25,72,127,8,0,1,0,1,0,0,0,0,0,0,5,"-",1
"integratori microcircolo gambe",,,"-",647,302,8,100,467,8,0,1,1,0,0,0,0,0,0,0,"-",9,1
"circolazione gambe forte",,,"-",339,339,-5,166,1000,8,0,1,1,0,0,0,0,0,0,0,"-",10,1
"venoruton bustine",,,"-",5137,375,-12,40,73,8,0,1,0,1,0,0,0,0,0,0,108,"-",2
"centellase vital gambe",,,"-",1985,129,-27,50,65,8,0,1,1,0,0,0,0,0,0,0,"-",8,2
"vene capillari",,,"-","-",0,"-",126,646,8,1,1,1,0,0,0,0,0,0,0,"-",10,2
"vene gambe",,,"-","-",0,"-",95,8000,8,0,1,1,0,0,0,0,0,0,0,"-",3,2
"integratore vene",,,"-","-",0,"-",72,309,8,4,1,1,0,0,0,0,0,0,0,"-",3,2
"integratore gambe",,,"-",108,216,-39,126,2000,8,6,1,0,0,0,0,0,0,0,0,"-","-",2
"integratori circolazione gambe",,,"-",703,286,-22,118,407,8,0,1,1,0,0,0,0,0,0,0,"-",11,2
"integratori per vene",,,"-","-",0,"-",59,287,8,1,1,1,0,0,0,0,0,0,0,"-",5,2
"venoruton",37,16.7,6,6785,1011,-22,99,149,25,0,1,1,1,0,0,0,0,0,0,25,10,2
"integratore capillari gambe",,,"-","-",0,"-",59,129,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"vene varicose gambe",,,"-",84,422,-6,171,5000,8,2,1,1,1,0,0,0,0,0,0,34,1,2
"integratore per vene varicose",,,"-",128,24,-46,56,187,8,0,1,1,1,0,0,0,0,0,0,55,3,2
"gambe vene varicose",,,"-",8,38,49,92,5000,8,1,1,0,0,0,0,0,0,0,0,"-","-",2
"eliminare capillari gambe",,,"-","-",0,"-",27,88,8,0,1,1,0,0,0,0,0,0,0,"-",11,2
"integratori vene e capillari",,,"-","-",0,"-",55,182,8,0,1,1,0,0,0,0,0,0,0,"-",5,2
"venoxx",96,83.3,6,6682,441,-32,54,66,8,0,1,0,0,0,0,0,0,0,0,"-","-",2
"integratori capillari gambe",,,"-","-",0,"-",90,201,8,0,1,1,0,0,0,0,0,0,0,"-",3,2
"integratori capillari protettori",,,"-","-",0,"-",27,32,8,0,1,1,0,0,0,0,0,0,0,"-",1,2
"venosmix",,,"-",6229,218,-13,24,35,8,1,1,0,0,0,0,0,0,0,0,"-","-",2
